Theme	Parent	Definition	Example	References
tap dancing	the fine arts and the humanities	The art of punishing parquetry using wooden shoes is featured.	Beverly "the dancing doctor" put her tap dancing skills on display in tng4x11 "Data's Day".	https://en.wikipedia.org/wiki/Tap_dance
tardiness	disagreeable characteristic	Someone is conspicuously late for a scheduled activity.	Wesley dozed off in the science lab and was subsequently late for duty in tng3x01 "Evolution".	
teen romance	romantic relationship	Young people engage in romantic relationships, typically for their first time.		
teenage angst	growing up	A teenager feels anxious about fitting in and being misunderstood as teenagers so often do.		
teleconferencing	real gadget	A system that transmits both sound and video to enable two-way real-time communication. This was (pretty much) sci-fi in the 60s but has become common stock since then.	Captain Kirk and his crew conferred in such a way in tos2x26 "Assignment: Earth".	
telekinesis	superstition	Someone is thought to be able to manipulate objects at a distance, using only the power of their mind.		https://en.wikipedia.org/wiki/Psychokinesis, http://www.sf-encyclopedia.com/entry/telekinesis
telepathic alien	mentally distinguished life form	An alien that communicates telepathically with or read the thoughts of others.		
telepathically linked aliens	mentally distinguished life form	Aliens that link with each other in semi-permanent telepathic communication.		
teleportation device	fictional apparatus	A device used to move people and objects over vast distances by transforming matter into energy and the reconstituting the matter at the destination.		https://en.wikipedia.org/wiki/Teleportation, http://tvtropes.org/pmwiki/pmwiki.php/Main/Teleportation?from=Main.TeleportersAndTransporters, http://www.sf-encyclopedia.com/entry/teleportation
temperance	heavenly virtue	Someone abstains from hedonism and seems like a pretty ascetic fellow, choosing a straightforward and simple lifestyle.	Robert Picard, the elder brother of Jean-Luc Picard, was a man of moderation. In tng4x02 "Family" it was revealed that Robert would not even allow food replicators in his home.	
terraformed planet	mastering space	The climate and environment on a planet is engineered to make it more Earth-like.		https://en.wikipedia.org/wiki/Terraforming, http://www.sf-encyclopedia.com/entry/terraforming
terraforming	scientific discipline	The scientific study of methods by which another planet can be made more Earth-like.		https://en.wikipedia.org/wiki/Terraforming, http://www.sf-encyclopedia.com/entry/terraforming
terror	unpleasant emotion	Someone experiences "fear" to the point of panic, i.e., they freeze up or otherwise loose control of themself.	Ensign Haskell died of sheer terror in tng2x02 "Where Silence Has Lease".	
terrorism	war	Attacks are characterized as "terrorism" by others. There is no objective definition, but the attacks typically target civilians and the attacker is not a conventional military carrying out normal war operations.		https://en.wikipedia.org/wiki/Terrorism
terrorist or freedom fighter	views and customs	We are shown that a group that is seen as vicious terrorists by some may well be seen as heroic freedom fighters by others.		http://tvtropes.org/pmwiki/pmwiki.php/Main/YourTerroristsAreOurFreedomFighters
test of loyalty	the art of war	A commander is unsure of their subordinate’s loyalty and arranges a temptation to see whether they will commit treason or not.	Romulans tested their commander Jarok’s loyalty by enticing him to defect to the Federation in tng3x10 "The Defector". Jarok was so upset he ingested a felodesine chip to kill himself.	
the Egyptian gods	religion	The pantheon worshipped by the ancient Egyptians some 3000 years ago.	Though not known to be connected, the culture and mythology of the D’Arsay was just like that of ancient Egypt in tng7x17 "Masks".	https://en.wikipedia.org/wiki/Ancient_Egyptian_deities
the Greek gods	religion	The pantheon of gods worshipped by the ancient Greeks some 2500 years ago.	Greek God Apollo appeared in tos2x04 "Who Mourns for Adonais?".	https://en.wikipedia.org/wiki/List_of_Greek_mythological_figures
the Greek gods were really aliens	crackpot theory	The crackpot notion that the Greek gods actually existed along side humans in Ancient Greece, but that they were aliens.	The alien Apollo revealed himself to have been the Apollo of the Ancient Greeks to the Enterprise crew in tos2x04 "Who Mourns for Adonis?".	
the Mayan gods	religion	The pantheon of gods worshipped by the classic or post-classic Mayans some 1000-2000 years ago.	Mayan God Kulkulkan appeared in tas2x05 "How Sharper Than a Serpent's Tooth".	https://en.wikipedia.org/wiki/List_of_Maya_gods_and_supernatural_beings
the Mayan gods were really aliens	crackpot theory	The crackpot notion that the Mayan gods actually existed along side the Ancient Mayans, but they were aliens.	Kulkulkan revealed itself to have been the Ancient Mayan god of the same name to the Enterprise crew in tas2x05 "How Sharper Than a Serpant's Tooth".	
the Roman gods	religion	The pantheon of Gods worshipped by the ancient Romans some 2000 years ago.	Unsurprisingly in light of Hodkin’s Law of Parallel Planetary Development, these gods were also worshiped by the Space Romans of planet 892-IV in tos2x14 "Bread and Circuses".	https://en.wikipedia.org/wiki/List_of_Roman_deities
the admiration for strength	human nature	The human tendency to fawn over strong and powerful beings (or things) is featured.		
the afterlife	religion	The idea that we somehow continue to exist in spirit after we die is discussed.	Ro and Geordi thought they might have died and become wandering spirits in tng5x24 "The Next Phase", before finding out that they had merely been phase shifted.	https://en.wikipedia.org/wiki/Afterlife
the art of flattery	human nature	How and why we feel flattered is discussed.		https://en.wikipedia.org/wiki/Flattery
the art of smalltalk	human nature	The human tendency to sometimes engage in mostly meaningless and idle chit-chat is featured.	Data studied the master of smalltalk Calvin "Hutch" Hutchinson in tng6x18 "Starship Mine".	https://en.wikipedia.org/wiki/Small_talk
the art of war	the domain of reason	The category of themes that discuss the best ways to conduct fights and warfare. Humanity should be embarrassed that this is such a large theme group.		
the battle of the sexes	gender issue	The category of themes that are about some aspect of the debates and struggles for supremacy between the male gender and the female gender.		https://en.wikipedia.org/wiki/Battle_of_the_Sexes
the beauty of nature	human pleasure	The human susceptibility for taking satisfaction in scenes of serene natural beauty is shown.	The whole crew in turns got to admire the beauty of the magical amusement planet now known as the "Shore Leave Planet" in tos1x17 "Shore Leave".	
the biology of high yield grain	topic in technology	High-yield grain is any variety of ordinary grain that has been bred, genetically modified, or fertilized to increase yield amounts.	Quadrotriticale was a genetically engineered hybrid of wheat and rye developed in 20th century Canada and a favorite food of tribbles in tos2x13 "The Trouble with Tribbles".	
the bureaucrat at command	group interaction	A paper-pusher with little practical experience of how things are done is suddenly in command of a group in the field.	When Captain Kirk started to loose his wits due to rapid aging, Commodore George Stocker took command of the Enterprise in tos2x11 "The Deadly Years" but not having any field experience he of course made a mess of it.	
the butterfly effect	topic in science	The notion that a small change in the initial conditions of a system can result in large differences in a later state.		https://en.wikipedia.org/wiki/Butterfly_effect
the calculus of human life	personal ethical dilemma	When someone has a calculated life-and-death decision to make, such as: saving two moderately close friends with 50% probability vs. saving a dozen perfect strangers with 60% probability. The details spelled out here for illustration are typically left ambiguous in real stories.		
the chemistry of gunpowder	topic in technology	Gunpowder is a mixture of sulfur, charcoal, and potassium nitrate (saltpeter) with the sulfur and charcoal acting as fuels, while the saltpeter functions as an oxidizer.	Captain Kirk knew this well and used the knowledge to defeat his Gorn enemy in the legendary fight to the death in tos1x19 "Arena".	https://en.wikipedia.org/wiki/Gunpowder
the dangers of unfettered scientific advancement	contemporary social issue	The dangers of scientific experiments going out of control with disastrous consequences for society, or the results of scientific discovery being used for mass destruction, are explored.		
the desire for glory	human aspiration	Someone wants nothing better than to become famous for great and grand achievements such as the vanquishing of foes.		
the desire for justice	human aspiration	Someone seeks righteous, and typically lawful, vengeance upon some miscreant.	Riker and his team wanted to bring Captain Picard’s presumed murderers to justice in tng7x04 "Gambit, Part I".	
the desire for personal development	human aspiration	Someone wants nothing better than to improve on their own competences and character.		https://en.wikipedia.org/wiki/Personal_development
the desire for prestige	human aspiration	Someone wants nothing better than to become pre-eminently respected in their community.		https://en.wikipedia.org/wiki/Reputation
the desire for redemption	human aspiration	Someone seeks to make up for past misdeeds and gain forgiveness.	Worf and his brother Kurn together sought redemption for the father's soiled reputation in tng4x26 "Redemption" and again in tng5x01 "Redemption, Part II".	
the desire for vengeance	human aspiration	Someone, rightly or wrongly, seeks vengeance for a perceived personal injustice.		https://en.wikipedia.org/wiki/Revenge
the desire to advance one's career	human aspiration	Someone seeks ever further promotion, influence, rank, and salary at work.		
the desire to be beautiful	human aspiration	Someone wants nothing less than to look good.		
the desire to be worshiped	human aspiration	Someone wants nothing less than for others to worship them like a god.	The alien Apollo craved worshipers in tos2x04 "Who Mourns for Adonais?".	
the desire to pursue one's dream	human aspiration	Someone has wishes to pursue unusual or fanciful ambitions that most people typically do not spend their lives persuing.		
the devil	religion	A being of pure evil that is posited by some religions, i.e., the antithesis of the Christian God.		https://en.wikipedia.org/wiki/Devil
the devil was really an alien	crackpot theory	The crackpot notion that the devil of Judeo-Christian lore is really an alien.	Lucien, a friendly alien from the magical world of Megas-Tu, was revealed to have been known as Lucifer on Earth millennia ago in tas1x08 "The Magicks of Megas-tu".	
the domain of faith	the pursuit of knowledge	The category of themes that are about faith, i.e., beliefs that are held to be a matter of instinct or revelation and not subject to rational inquiry by arrogant scientists.		
the domain of reason	the pursuit of knowledge	The category of themes that are about the investigation of how the world works by means of logic and the scientific method, i.e., observation and experimentation.		
the eating of animals	past and present moral controversy	We are asked to what extent, if any, it is acceptable to eat other animals.		
the end justifies the means	social ethical dilemma	The following dilemma is illustrated: Can wicked policies, such as oppression, lead to socially good outcomes? Are the policies morally justified if so?		
the end of the world	religion	A religious doctrine that predicates the end of all material things for one reason or another is featured.	The people of Ventax II thought the prophesied end was neigh when their devil seemed to appear in the flesh in tng4x13 "Devil's Due".	https://en.wikipedia.org/wiki/End_time
the ethics of killing in self-defense	ethics	The question of how killing in self-defense can or cannot be justified is discussed.		https://en.wikipedia.org/wiki/Justifiable_homicide
the ethics of valuing human lives	ethics	How we can come to terms with the fact that sometimes some people’s lives may be more important to preserve than others’ is discussed.		
the fine arts and the humanities	the domain of reason	The category of themes that are about art forms and the study of human society. They range from painting to tap dancing, from calligraphy to stand up comedy, and from rhetoric to anthropology.		https://en.wikipedia.org/wiki/Fine_art https://en.wikipedia.org/wiki/Humanities
the flip side of immortality	life lesson	Someone lives so long that they start to see the downsides to "immortality", i.e., the boredom and lack of purpose.		http://tvtropes.org/pmwiki/pmwiki.php/Main/WhoWantsToLiveForever https://en.wikipedia.org/wiki/Immortality_in_fiction
the four elements	discredited scientific theory	An antiquated theory advanced by the ancient Greeks that earth, water, air, and fire are the fundamental constituents of all matter.	Data debunked this theory in front of a classroom of Barkonian kids in tng7x16 "Thine Own Self" to their teacher's chagrin.	https://en.wikipedia.org/wiki/Classical_element
the fulfillment of prophesy	religion	The idea that the divinely inspired prognostications of holy prophets are on the verge of coming to fruition.		https://en.wikipedia.org/wiki/Prophecy
the ghost was really an alien	crackpot theory	The crackpot speculation that ghosts are actually aliens.	Beverly’s ghost-like lover Ronin turned out to be just another nefarious alien in tng7x04 "Sub Rosa".	
the good of the many vs. the needs of the few	social ethical dilemma	The following kind of dilemma is illustrated: In choosing between two incompatible policies, if one is somewhat beneficial to a large number of people while the other is many times more important to a smaller number of people, how do we decide which is morally preferable?		
the greatest among us is the smallest in another world	views and customs	We are shown that the famous people we may admire and worship are only "great" on a very limited human scale. In the larger scheme of things none of us stands out all that much from the rest.	Captain Kirk and his crew were harassed by an alien with unimaginable powers until its parents appeared in tos1x18 "The Squire of Gothos".	
the greenhouse effect	topic in science	Certain gasses in the Earth's atmosphere (e.g. carbon dioxide) trap heat from the sun, making the planet hotter than it would be otherwise.	Global warming is normally viewed as a bad thing, but when Penthara IV got hit by a type C asteroid in tng5x09 "A Matter of Time", a dose of the greenhouse effect was in fact the prescribed cure.	https://en.wikipedia.org/wiki/Greenhouse_effect
the hippie movement	past and present moral controversy	We are asked what we think of the trappings and ideologies of the movement that started among young people now known as "Hippies" in the 60s in the USA.		https://en.wikipedia.org/wiki/History_of_the_hippie_movement
the horrors of war	war	The terrible impact war has on ordinary people is featured.		
the human mind and big numbers	human nature	The problem our brain has with comprehending very large numbers is featured. How does the radius of the universe compare with, say, the length of your nose?	Spock pointed out in tos2x19 "The Immunity Syndrome" how the human mind finds it easier to understand the death of one than the death of a million.	
the importance of not displaying weakness	the art of war	The ramifications of displaying weakness in front of one’s enemy is featured.	Spcok argued rationally for attack in tos1x08 "Balance of Terror", because anything else would be a sign of weakness.	
the importance of patience in communication	life lesson	It is illustrated that impatience can be an impediment to good communication.	Thanks to the patient persistence of Captain Dathon in tng5x02 "Darmok", Captain Picard finally gained the ability to communicate with the Children of Tama.	
the importance of punctuality	group interaction	Someone causes trouble and discord by not keeping their appointments.	The Tholians were renown for their punctuality in tos3x09 "The Tholian Web".	
the instinct for violence	human nature	The all too familiar human penchant for violence is discussed.	The Melkotians deplored the human instinct for violence and sought to turn it against the Enterprise crew in tos3x01 "Spectre of the Gun".	
the joys of love	human pleasure	The ephemeral feelings of euphoria that sometimes comes to those who fall joyfully and blissfully in love are featured.	McCoy summed up the ecstasies, miseries, and "glorious victories" of love to Spock in tos3x21 "Requiem for Methuselah".	
the letter of the law vs. the spirit of the law	social ethical dilemma	The following dilemma is illustrated: Language and writing is fallible and there is always ambiguity and room for misunderstanding. So to what extent should the law be obeyed to the letter, and to what extent should we instead look to the intent of the legislators and, ultimately, our own sense of right and wring?		https://en.wikipedia.org/wiki/Letter_and_spirit_of_the_law
the life of a friend vs. the lives of many	personal ethical dilemma	Someone must choose between the life and/or well being of a close friend on one hand, and the lives and/or well being of a group of other people on the other.	Captain Picard was in a crux when Natasha Yar got abducted by ebony skinned aliens who held a desperately needed vaccine in tng1x04 "Code of Honor".	
the life of a loved one vs. the good of humanity	personal ethical dilemma	Someone must choose between the life of a loved one on one hand, and a general good, such as a cure for cancer, on the other.	Captain Kirk had to let his lover Edith Keeler die in order to restore the timeline in tos1x28 "The City on the Edge of Forever".	
the logic of reverse psychology	topic in science	The psychology behind the advocacy of one course of action in such a way as to persuade someone to take an opposite course.	Data contemplated the use of reverse psychology to persuade the colonists of Tau Cygna V to evacuate before the Sheliak arrived in tng3x02 "The Ensigns of Command".	https://en.wikipedia.org/wiki/Reverse_psychology
the lust for gold	human aspiration	Someone wants nothing better than to acquire more money and possessions.		https://en.wikipedia.org/wiki/Greed
the lust for power	human aspiration	Someone seeks ever more influence in society and the means to make people do their bidding.		http://tvtropes.org/pmwiki/pmwiki.php/Main/AmbitionIsEvil
the making of a monster to society	contemporary social issue	The social factors involved in the development of a psychopathic criminal are explored.	Armus became a being of pure evil when the Titans left him behind in tng1x23 "Skin of Evil".	
the mechanics of firearms	topic in technology	Typically, the pulling of a trigger causes a hammer to snap forward and trigger an explosion (of some sort) that propels a bullet out from an elongated metal barrel at high velocity and in the direction of a designated target.	The Klingons supplied primitive townspeople on planet Neural with increasingly advanced firearms with which to wage war against the local hill people in tos2x16 "A Private Little War".	https://en.wikipedia.org/wiki/Firearm
the morality of colonization	past and present moral controversy	We are asked when and to what extent it is acceptable to colonize another land and bring your own culture there, perhaps displacing indigenous inhabitants and surely having some impact on the environment.	The Federation was preparing a seemingly lifeless planet for colonization in tng1x18 "Home Soil", but it turns out that it harbored a really unusual form of life.	https://en.wikipedia.org/wiki/Colonization
the morality of human cloning	past and present moral controversy	We are asked to what extent, if any, the cloning of human beings is acceptable.		https://en.wikipedia.org/wiki/Human_cloning
the multiverse	what's out there	The hypothetical set of finite and infinite possible universes, including the universe in which we live.		
the nature of animal instincts in humans	human nature	Those ancient instincts that are deeply rooted in the reptile core of our brains are discussed. They typically involve aggression, survival, and reproduction.	Suppressed animal instincts come to the surface as the crew begins to de-evolve in tng7x19 "Genesis".	
the nature of children	human nature	What children’s innate attributes and behaviors are is discussed.	Earth Two was populated wholly by child Onlies in tos1x11 "Miri" as all the adults had succumbed to a disease.	https://en.wikipedia.org/wiki/Child
the nature of creativity	metaphysics	It is discussed what precisely human "creativity" is and from whence it comes.		https://en.wikipedia.org/wiki/Creativity
the nature of cuteness	aesthetics	The question of what "cuteness" really is, is discussed. Why do we call some things "cute"?	McCoy pondered what it is that attracts us to cute little Tribbles in tos2x13 "The Trouble with Tribbles".	
the nature of death	human nature	Existential questions about the end of life are discussed.	The immortal alien being Nagilum killed Enterprise-D crew in order to understand the nature of this whole dying business in tng2x02 "Where Silence Has Lease".	https://en.wikipedia.org/wiki/Cuteness
the nature of friendship	human nature	How friendships work, end, or come about is discussed.	Data the emotionless android emphatically explained the essentials of friendship to Ishara in tng4x06 "Legacy".	https://en.wikipedia.org/wiki/Friendship
the nature of good and evil	ethics	The very nature of what is morally good and bad is discussed.		
the nature of grief	human nature	The emotion of grief and associated activities are pondered.	Captain Picard explained how grief is a natural part of the human life cycle to an incorporeal alien in tng3x05 "The Bonding".	https://en.wikipedia.org/wiki/Good_and_evil
the nature of human emotions	human nature	What emotions are and what they mean to us is discussed.		https://en.wikipedia.org/wiki/Emotion
the nature of human perception of time	human nature	How we sense and think of time is discussed.	Data put the aphorism "a watched pot never boils" to the test in tng6x25 "Timescape".	
the nature of humor	human nature	What it means to leave people in stitches is pondered.		https://en.wikipedia.org/wiki/Humour
the nature of individuality	human nature	What it is that distinguishes us as individuals from other people in the mass of humanity, is pondered.		https://en.wikipedia.org/wiki/Individual
the nature of love	human nature	The emotion of love and associated activities are pondered.		https://en.wikipedia.org/wiki/Love
the nature of memory	metaphysics	The definition for, and workings of, human memory is discussed.	Telepathic aliens studied memory and the subconscious in tng5x12 "Violations".	https://en.wikipedia.org/wiki/Memory
the nature of persuasion	human nature	The ways by which we sway each others’ opinions are pondered.	Expert negotiator Ral soliloquize about this in tng3x08 "The Price".	https://en.wikipedia.org/wiki/Persuasion
the nature of reality	metaphysics	The fundamental philosophical question of "what is real" is discussed. Might everything we perceive be an illusion or is there something we can identify as certainly real?	Living out a life as a villager named Karmin on the planet Kataan felt very real to Captain Picard in tng5x25 "The Inner Light", but in reality it was all an elaborate fiction produced by an alien probe.	https://en.wikipedia.org/wiki/Reality
the nature of sentience	metaphysics	The definition of sentience is discussed. Here as in most sci-fi the word "sentient" is taken to mean intelligent and self-aware. That, however, still leaves much to be questioned.	how could Picard tell whether he was transported to an alternate world or whether he was just crazy	https://en.wikipedia.org/wiki/Sentience
the nature of sneezing	human nature	The deep and profound mysteries of the sneeze are examined.	Wesley stumbled on Data practicing his artificial sneezing in tng1x13 "Datalore".	https://en.wikipedia.org/wiki/Sneeze
the nature of taste	aesthetics	The nature of gustatory taste is discussed (as opposed to, for example, taste in art).	Q and Data discussed that human habit of eating in tng3x13 "Deja Q".	https://en.wikipedia.org/wiki/Taste
the nature of the senses	human nature	What our senses are and how they work is discussed.		https://en.wikipedia.org/wiki/Sense
the nature of the subconscious	human nature	The workings of the subconscious mind is explored.		https://en.wikipedia.org/wiki/Subconscious
the need for a challenge in life	human need	It is suggested that humans, in order to feel fulfilled, need some kind of long term challenge to overcome.		
the need for a purpose in life	human need	It is suggested that humans, in order to feel fulfilled, need some kind of long term purpose to work toward.		
the need for closure	human need	We see that humans tend to feel bad about past affairs being left partially unresolved or unknown. We would, e.g., dislike not knowing whether a missing family member is dead or alive.	Geordi found closure in accepting the death of his mother in tng7x03 "Interface" by speaking with an alien entity that had taken on her identity.	https://en.wikipedia.org/wiki/Closure_(psychology)
the need for companionship	human need	It is illustrated that humans need close friends or life partners etc. in order to feel fulfilled.		
the need for cultural heritage	human need	It is illustrated that humans often need to feel they have roots in a culture in order to feel content in life.		https://en.wikipedia.org/wiki/Cultural_heritage
the need for death	contemporary social issue	The pros and cons of accepting death, as opposed to seeking immortality, in society are explored.		
the need for freedom	human need	It is suggested that humans do not feel good about being in captivity or otherwise unfree.		https://en.wikipedia.org/wiki/Freedom
the need for play	human need	It is suggested that humans need some fun and games in order to develop and function normally.		
the need for privacy	human need	It is illustrated that lack of privacy, if taken too far, will lead to unhappy and ill-functioning humans.	Miranda was born with the ability to hear thoughts and might have gone insane, in tos3x07 "Is There in Truth No Beauty?", had she not learned how to shut the voices out.	https://en.wikipedia.org/wiki/Privacy
the need for procreation	human need	That humans typically need to reproduce and sire offspring in order to feel self-fulfilled is illustrated.		https://en.wikipedia.org/wiki/Reproduction
the need for rest and recreation	human need	It is illustrated that humans, in order to function well, need to rest and unwind with amusing activities from time to time.	Captain Picard reluctantly took in a little R&R on Risa in tng3x19 "Captain's Holiday".	
the need for self-determination	human need	It is suggested that humans need to feel they have a measure of control over their own destinies if they are to function well. For example, having every other need tended to by a benevolent guardian might leave us with little capability to control our own lives.		
the need for self-vindication	human need	The human need to clear their names from perceived accusations or suspicions is featured.	In tos1x12 "The Conscience of the King", Kodos the Executioner justified committing genocide as governor of Tarsus IV to Captain Kirk, saying that it was a matter of life and death.	
the need to be remembered	human need	It is suggested that humans are driven to do something with their lives that is worth remembering at least for someone.		
the need to be treated with respect	human need	It is illustrated that humans feel bad if they are not treated with sufficient respect by their fellow humans.		
the need to feel useful to society	human need	It is illustrate that humans in order to be content must feel that they have a meaningful place in society.		
the need to get there on one's own merits	human need	It is illustrated that humans may put high importance on achieving something by their own merits, rather than having it handed to them on a silver plate.		
the need to maintain an image	human need	It is illustrated that humans, to function well in society, to some extent must maintain an outwards facade that can be quite different from their true inner selves.	Captain Picard took elaborate measured to prevent the crew from learning that he suffered from a heart condition in order to maintain his image in tng2x17 "Samaritan Snare".	
the need to prove one's self	human need	It is illustrated that humans, in order to feel content, may feel the need to demonstrate that the skills they claim to have are true, to themselves and to others.		
the placebo effect	topic in science	The phenomena where patients given a placebo treatment have a perceived or actual improvement in a medical condition.	In the end the Mudd's women found that it was the confidence a drug had inspired that made them beautiful rather than the drug itself in tos1x03 "Mudd's Women".	https://en.wikipedia.org/wiki/Placebo
the power of intuition	superstition	The idea that we can find previously unknown information about the external world merely through looking inwards to our intuitions.		
the power of thought	superstition	The idea that our thoughts have power to affect the external world well beyond the mere manipulation of our own bodies.		
the presumption of innocence	contemporary social issue	The pros and cons of the presumption of innocence as a legal right are explored.	On Tanuga IV, by contrast with the Federation, people were presumed to be guilty until proven innocent in tng3x14 "A Matter of Perspective".	https://en.wikipedia.org/wiki/Presumption_of_innocence
the promised land	religion	The religious doctrine that there is a "promised land" which God has ordained to his believers.		https://en.wikipedia.org/wiki/Promised_Land
the psychology of torture	human nature	How torture affects the mind of victim, perpetrator, bystanders, etc. is explored.		https://en.wikipedia.org/wiki/Torture
the qualities of a good leader	human nature	What it takes to lead other people effectively is discussed.		https://en.wikipedia.org/wiki/Leadership
the qualities of a good wife	female stereotype	Someone is concerned with what a woman should be like in order to make a good house wife.		
the quest for immortality	human aspiration	Someone seeks a way to live on forever.	Ira Graves surreptitiously transferred his consciousness into Data in an effort to gain eternal life in tng2x06 "The Schizoid Man".	https://en.wikipedia.org/wiki/Immortality, http://www.sf-encyclopedia.com/entry/immortality
the reasons for playing games	human nature	What in our minds attract us to games of different sorts is pondered.	Data, Troi and Pulaski discussed why we enjoy playing games in tng2x21 "Peak Performance".	
the reliability of AI evidence in court	social ethical dilemma	The following dilemma is illustrated: To what extent can we rely on the internal state of very complex machines that, perhaps, we do not fully understand? Can it be trusted as evidence in a court?	Spock challenged the accuracy of computer evidence in the court martial of Captain Kirk in tos1x14 "Court Martial".	
the right to a fair trial	human rights	We are made to ponder what kind of legal procedures are required before action may be taken to deprive someone of their freedom or property, etc.	Admiral Norah Satie’s investigation of Simon Tarses turned into a witch-hunt because of her racial prejudice against Romulans in tng4x21 "The Drumhead".	https://en.wikipedia.org/wiki/Right_to_a_fair_trial
the right to exist of a xenocidal species	social ethical dilemma	The following dilemma is illustrated: Suppose another people (or alien species) engages in pathological killing and genocide; do they themselves have the right to exist? Would we be morally justified in visiting genocide on them? Is there room for doubt?		
the right to not have one's brain confiscated	human rights	We are made to ponder under what circumstance it might be morally justified to confiscate someones brain for one purpose or another.	The Eymorg refused to grant Spock this basic human right in tos3x06 "Spock's Brain".	
the right to one's own likeness	human rights	We are made to ponder to what extent or for what purposes it might be wrong to use someone elses’ physical appearance. Would it be ok to make a film in which it looked like a famous actor appeared even if they didn’t nor had permitted it?		https://en.wikipedia.org/wiki/Personality_rights
the right to privacy of thoughts	human rights	We are made to ponder to what extent and in what way it might be acceptable to figure out what someone is thinking. Is it okay to use technology (or inante ability) to read someone's mind?	Telepathic aliens visiting the Enterprise-D claimed to respect peoples’ right to privacy of thought but one of them turns out to be a psychopath in tng5x12 "Violations".	
the right to self-determination	human rights	We are made to ponder to what extent we feel that each individual should have the freedom and capability to determine their own fate. I want to be supreme dictator of the universe.		https://en.wikipedia.org/wiki/Self-determination
the role of the disabled in society	contemporary social issue	The role of disabled people in society is explored.	Miranda Jones hid her blindness and proved she could do just as well as a normal person in tos3x07 "Is There in Truth No Beauty?".	
the role of the elderly in society	contemporary social issue	The role of the elderly in society is explored.		
the role of war veterans in society	contemporary social issue	The role of war veterans in society is explored.	The Angosians tucked their genetically engineered war veterans safely away on a shabby little moon in tng3x11 "The Hunted".	
the science of anti-matter	topic in science	Matter composed of anti-particles, which have the same mass as particles of ordinary matter but opposite charge. Also there can be big explosions.	The danger of trying to mix matter with anti-matter was explained in tos1x20 "The Alternative Factor".	https://en.wikipedia.org/wiki/Antimatter
the science of oil lamps	topic in technology	At the heart of it an oil lamp is nothing more than an oil-filled receptacle with a wick sticking out of it. The lighting of the lamp results in a steady flame being emitted from the tip of the wick.	Kirk impressed the space Native Americans of planet Amerind by inventing an oil lamp in tos3x03 "The Paradise Syndrome" while suffering from amnesia.	https://en.wikipedia.org/wiki/Oil_lamp
the scientific method	topic in science	A body of techniques that rely on reasoning from empirical observations for investigating various phenomena in nature.		https://en.wikipedia.org/wiki/Scientific_method
the seeding of space with life	topic in science	The hypothesis that life exists throughout the universe and is distributed naturally by asteroids and comets or perhaps even at the direction of aliens.		https://en.wikipedia.org/wiki/Panspermia, http://www.sf-encyclopedia.com/entry/panspermia
the soul	religion	The doctrine that humans (and perhaps other sentient beings if they exist) have an immaterial, intangible and immortal component that will somehow continue to exist after the body dies.	Captain Pike balked at the notion that having free reign in an Orion den of sin was worth a man's soul in tos0x01 "The Cage".	https://en.wikipedia.org/wiki/Soul
the supernatural	superstition	Things that are traditionally thought of as not being valid targets for rational inquiry and experimentation are featured. Typically ghosts, spirits, and the like.	Two extradimensional aliens used their mysterious abilities to conjure up a haunted castle and other things from the dark depths of human imagination in tos2x01 "Catspaw".	
the theater	the fine arts and the humanities	The art of playing out stories live is featured.		https://en.wikipedia.org/wiki/Theatre
the theory of everything	topic in science	A hypothetical all-encompassing theory of physics that fully explains and links together all physical aspects of the universe.	Barclay had a heated discussion with a virtual Albert Einstein about this theory on the holodeck in tng4x19 "The Nth Degree".	https://en.wikipedia.org/wiki/Theory_of_everything
the theory of evolution	topic in science	The process of change in all forms of life over generations that is characterized by mutation, genetic drift, and natural selection.		https://en.wikipedia.org/wiki/Theory_of_evolution
the thirst for knowledge	human aspiration	Someone wants ever more information, understanding, and knowledge.		
the universe is a simulation theory	metaphysics	The notion that all we are and all we know is just a simulation within a larger reality is featured.	Dr. James Moriarty was to unwittingly live out his simulated life in a simulated universe in tng6x12 "Ship in a Bottle", but who knows: maybe we all are?	https://en.wikipedia.org/wiki/Simulation_hypothesis
the use of genetic engineering	past and present moral controversy	We are asked  to what extent, if any, it is acceptable or wise for us to interfere with our own genes and, by extension, our evolution as a species.		https://en.wikipedia.org/wiki/Genetic_engineering#Controversy, https://en.wikipedia.org/wiki/Genetically_modified_food_controversies
the value of pi	topic in science	3.1415926535 8979323846 2643383279 5028841971 6939937510 5820974944 5923078164 0628620899 8628034825 3421170679 8214808651 3282306647 09384460...	Wily Spock ordered the computer to compute pi to the last digit in tos2x07 "Wolf in the Fold".	https://en.wikipedia.org/wiki/Pi
the value of product testing	topic in science	A process of measuring the properties and performance of products that helps to increase consumer protection by checking the claims made by manufacturers.		https://en.wikipedia.org/wiki/Product_testing
the value of testing a hypothesis	topic in science	The testing of a hypothesis, i.e., a proposed explanation for a phenomena, has proved essential to science and the search for truth.		https://en.wikipedia.org/wiki/Scientific_method
the vastness of the universe	topic in science	Doctor McCoy sums it up best in tos1x08 "Balance of Terror": " In this galaxy, there's a mathematical probability of three million Earth-type planets. And in all of the universe, three million million galaxies like this. And in all of that, and perhaps more, only one of each of us. Don't destroy the one named Kirk."	MyCoy waxed lyrical in tos1x08 "Balance of Terror" on the likelihood of three million Earth-like planets in the Milky Way, and three million million galaxies like it in all the universe, but only one Captain Kirk.	
