Theme	ThemeID	ParentTheme	Tags	RelatedThemes	Definition	Example
human enhancement	131	novel sci-fi concept			The category of themes that toy with ideas for how to build starships, i.e., spaceships for interstellar travel.	
mastering space	134	novel sci-fi concept			The category of sci-fi themes that speculate about what we may find out there in the deepest depths of space: dark matter nebulas, quasars, wormholes and an entire parallel antimatter universe, perhaps?	
mind technology	184	novel sci-fi concept			A character betrays the trust or friendship of another.	
real gadget	288	novel sci-fi concept			A character insinuates they will do something that they in fact cannot or will not do, thereby deceiving someone else.	
starship technology	277	novel sci-fi concept			Two characters lock wills in an argument over a joint course of action.	Spock and McCoy butted heads in no fewer than five episodes. In tos2x19 “The Immunity Syndrome”, a rivalry ensued when they both volunteer to commandeer a specially equipped shuttlecraft into the giant space amoeba.
what's out there	79	novel sci-fi concept			Two William T. Riker’s lock wills in an argument over a joint course of action.	There was some serious Riker on Riker action going on in tng6x24 “Second Chances”.
betrayal	188	one-on-one interaction			Two characters disagree over some arrangement and both concede something to reach a workable compromise.	
bluffing	598	one-on-one interaction			Various complications that can arise when two characters try to cooperate in an endeavour are featured.	
clash of wills	93	one-on-one interaction			The various troubles involved in expressing one’s feelings to another are featured.	Data expressed his affection for Spot the cat in characteristic android fashion by reciting “Ode to Spot” in tng6x05 “Schisms”.
clash of Wills	1081	one-on-one interaction			Someone supports a friend by showing unwavering trust in their abilities.	Captain Picard decided to trust Guinan implicitly, albeit after been on the receiving end of  a stern talking to from the Ten Forward bartender, in tng3x15 "Yesterday's Enterprise".
compromising	607	one-on-one interaction			Two friends stop being friends, for example, because they come to disagree about an important issue.	
cooperation	159	one-on-one interaction			Two mature adult women strengthen their friendship by engaging in stereotypically female bonding activities such as chit-chatting about Willaim T. Riker.	Ro found her confidant in Guinan in tng5x03 "Ensign Ro".
expressing feelings	807	one-on-one interaction			Someone takes unusual pains to flatter someone else.	Berlinghoff Rasmussen nearly conned the Enteprise-D crew after putting them at ease with his silver tongue in tng5x09 "A Matter of Time".
faith in a friend	1147	one-on-one interaction			The friendship between two characters is featured.	
falling out of friendship	813	one-on-one interaction			A character tries to browbeat another by threat and intimidation.	
female bonding	643	one-on-one interaction			Two mature adult males strengthen their friendship by engaging in stereotypically male bonding activities such as William T. Riker fighting an Anbo-jyutsu match.	Geordi and Bochra, a Romulan centurion and sworn enemy of the Federation, engaged in some serious male bonding while stranded together on the planet Galorndon Core in tng3x07 "The Enemy".
flattery	1156	one-on-one interaction			Two characters come to respect each other.	
friendship	144	one-on-one interaction			Two characters come to trust each other.	
intimidation	842	one-on-one interaction			Someone anticipates what another will be based on their reputation but comes to find that the reputation was not entirely warranted.	
male bonding	194	one-on-one interaction			One person places the blame for some misfortune squarely on another person.	
mutual respect	874	one-on-one interaction			Two characters agree to put past differences aside in order to pursue some more important joint purpose.	
mutual trust	671	one-on-one interaction			Two people who have quarrelled in the past come to a more or less amicable reconciliation.	Riker and his father Kyle reconciled their differences over a heated anbo-jyutsu match in tng2x14 “The Icarus Factor”.
people may not always live up to their reputations	892	one-on-one interaction			Someone employs reverse psychology to influence another in a desired way.	Data attempted a clever bit of reverse psychology on the stubborn colonists of Tau Cygna V in tng3x02 "The Ensigns of Command" but to no avail.
placing blame	556	one-on-one interaction			Two characters are rivals over, for example, a desired mate or workplace prestige.	
putting differences aside	210	one-on-one interaction			Two life-forms (usually a man or man-like alien hunk with a woman or a woman-like alien babe) engage in a romantic relationship.	
reconciliation	185	one-on-one interaction			A subordinate questions the propriety of their superior’s decision.	
reverse psychology	1326	one-on-one interaction			Someone fawns over another in order to gain their general support or affection.	
rivalry	276	one-on-one interaction			Someone supports a friend by showing unwavering trust in their honesty.	
romantic relationship	54	one-on-one interaction			The relationship between a god and his (her?) people is investigated.	
second guessing a superior	916	one-on-one interaction			The oft ridiculed, supposed, Church doctrine of bygone days that Earth is at the centre of everything is featured.	
sucking up	928	one-on-one interaction			A collection Abrahamic monotheistic religions that are based on the life and teachings of Jesus Christ.	
trust in a friend	296	one-on-one interaction			The idea that there are two divine forces that exist in a precarious balance that it is best not to upset.	The moon God Korgano followed the Sun Goddess Masaka in a neverending chase in tng7x17 "Masks".
a god and his people	744	organized religion			The central question in the battle between the secular (science) and the ecclesiastical (religion): Is there a valid source of knowledge, i.e., revelation, that is not derived from reason and not subject to scientific experimentation?	
center of the universe dogma	762	organized religion			The believers sense of respect, awe and submission in front of their god.	
Christianity	741	organized religion			A human(oid) ruler that is thought to be a god in their own right.	Landru was believed to be such a semi-divine being in tos1x22 "The Return of the Archons" but turned out to be a mere machine.
divine balance	1128	organized religion			The belief that in the struggle between good and evil, what is good will always prevail in the end. The person who holds such a belief invariably sees themself as being on the side of the “good”, whatever that may be.	A powerful Excaliban came to this conclusion after pitting the most evil humanoids in history against the most virtuous, in tos3x22 "The Savage Curtain".
faith vs. reason	530	organized religion			A religious savior or liberator of a group of believers, similar to a holy prophet but usually a notch higher in the divine pecking order.	Kahless the Unforgettable, the Klingon messiah, was resurrected by cloning by Klingon monks in tng6x23 "Rightful Heir".
fear of the lord	816	organized religion			The practices of loosely defined non-Christian small-scale religious cults.	The Children of Landru in tos1x22 "The Return of the Archons" had robes and magical quarterstaffs just like the pagans of old.
god king	1181	organized religion		Christianity	Religions that contain a pantheon of many gods, as opposed to the Abrahamic religions.	
good is stronger than evil	1182	organized religion			A person is brought back to life by miraculous means, as opposed to by the application of technology.	Worf was brought back from dead by the amnesiac alien provisionally named John Doe in tng3x25 "Transfigurations".
messiah	667	organized religion			Some seemingly miraculous event is interpreted as a sign of divine origin.	
pagan cultism	1277	organized religion		the soul	The idea that we somehow continue to exist in spirit after we die is discussed.	Ro and Geordi thought they might have died and become wandering spirits in tng5x24 "The Next Phase", before finding out that they had merely been phase shifted.
polytheism	479	organized religion			A being of pure evil that is posited by some religions, i.e., the antithesis of the Christian God.	
resurrection of the dead	1324	organized religion			The pantheon worshipped by the ancient Egyptians some 3000 years ago.	Though not known to be connected, the culture and mythology of the D’Arsay was just like that of ancient Egypt in tng7x17 "Masks".
signs from the heavens	919	organized religion			A religious doctrine that predicates the end of all material things for one reason or another is featured.	The people of Ventax II thought the prophesied end was neigh when their devil seemed to appear in the flesh in tng4x13 "Devil's Due".
the afterlife	1412	organized religion			The idea that the divinely inspired prognostications of holy prophets are on the verge of coming to fruition.	
the devil	945	organized religion			The pantheon of gods worshipped by the ancient Greeks some 2500 years ago.	Greek God Apollo appeared in tos2x04 "Who Mourns for Adonais?".
the Egyptian gods	1406	organized religion			The pantheon of gods worshipped by the classic or post-classic Mayans some 1000-2000 years ago.	Mayan God Kulkulkan appeared in tas2x05 "How Sharper Than a Serpent's Tooth".
the end of the world	1419	organized religion			The religious doctrine that there is a “promised land” which God has ordained to his believers.	
the fulfillment of prophesy	946	organized religion			The pantheon of Gods worshipped by the ancient Romans some 2000 years ago.	Unsurprisingly in light of Hodkin’s Law of Parallel Planetary Development, these gods were also worshiped by the Space Romans of planet 892-IV in tos2x14 "Bread and Circuses".
the Greek gods	1407	organized religion			The doctrine that humans (and perhaps other sentient beings if they exist) have an immaterial, intangible and immortal component that will somehow continue to exist after the body dies.	Captain Pike balked at the notion that having free reign in an Orion den of sin was worth a man's soul in tos0x01 "The Cage".
the Mayan gods	1409	organized religion			A religious doctrine holding that someone, i.e., Christ, was conceived in the absence of sexual intercourse.	While it is unlikely that Troi was a virgin at the time, her intercourse-free pregnancy in tng2x01 "The Child" nevertheless fits the bill.
the promised land	956	organized religion			The religious practice, mostly Christian, of hunting down people that are believed to fraternize with the devil.	Captain Kirk was confined and nearly charged with witchcraft in tos3x23 "All Our Yesterdays".
the Roman gods	1411	organized religion	aliens		An alien life form that somehow derives nourishment from the emotions of beings that have emotions.	
the soul	962	organized religion	aliens		An invisible alien life form that parasitizes humanoids. This makes it a ghost like, fearful and mystic entity perfect for a horror story.	Such parasites were found on members of the Enterprise-D in tng7x06 "Phantasms".
virgin birth	1482	organized religion	aliens		An alien life form that somehow derives nourishment from the “life force” of other beings.	
witch hunt	1524	organized religion	aliens		An alien life form that dominates other species by attaching themselves to the others’ neural systems.	Patch-like flying aliens attached themselves to people’s nervous system in tos1x29 "Operation -- Annihilate!".
being that feeds on emotions	756	parasitic life form	aliens		Cockroach-like looking aliens that attach themselves to the brainstem of humanoids thus deriving nourishment, taking control, and conquering the galaxy all in one go.	Bug-like neural parasites from outer space nearly took over Starfleet by attaching themselves to important officers’ brainstems in tng1x25 "Conspiracy".
invisible parasites	1211	parasitic life form	aliens		A non-sentient life form that is to an atom as a common bacteria is to, say, a human skin cell.	Both the Enterprise-D and the Klingon vessel IKS Pagh were in danger when their hulls got infested by a tritanium eating subatomic bacteria in tng2x08 "A Matter Of Honor".
life force draining alien	422	parasitic life form	juvenile		Daddy is away from home for an extended period of time, perhaps because of a remote work assignment.	
neural parasites	1262	parasitic life form	juvenile		Someone adopts a child legally as their own in spite of not being the biological parent.	Talarians adopted the human boy Jono after having savagely massacred his family in a raid in tng4x04 "Suddenly Human".
parasitic bug aliens	1283	parasitic life form	juvenile		The many trials and tribulations involved in bringing up a child are featured.	
subatomic bacteria	1394	parasitic life form	juvenile		Two or more people fight over the legal guardianship of a child.	
absentee father	746	parenting	juvenile		The many trials and tribulations involved in handling children are featured.	On Captain Picard Day, Picard had the onerous duty to feign interest, bestow awards and otherwise encourage youngsters in tng7x12 "The Pegasus".
adoption	1026	parenting	juvenile		The subtle question of how best to teach a child self-discipline, appropriate obedience, and how to punish transgressions.	Worf gave Alexander a stern talking to for having pocketed a lizard model on a school field trip in tng5x10 "New Ground".
child rearing	302	parenting			The lives of (typically) two soon-to-be parents between confirmed conception and the birth of a child is explored.	
custody battle	788	parenting			A son is not all that his father wishes him to be.	
dealing with children	305	parenting	juvenile		The subtle question of how a child’s intellect develops and what should be done to aid this process is discussed.	The Aldeans had an enlightened approach to raising children they kidnap in tng1x17 "When The Bough Breaks".
discipline of a child	625	parenting			The life of a child or adult whose parent or parents interfere more than is desired is explored.	Worf's adoptive, Human parents embarrassed the Klingon during their visit aboard the Enterprise-D in tng4x02 "Family".
expecting parents	637	parenting			A son is not all that his mother wishes him to be.	Beverly was disappointed in Wesley for covering up the now infamous Nova Squadron Incident in tng5x18 "The First Duty".
fatherly disappointment in a son	531	parenting			Certain instincts and impulses that a woman has, or is expected to have, with respect to her children.	
intellectual development of a child	1207	parenting	juvenile		The many trials and tribulations involved in rearing a child while frequently moving from one place to another, as opposed to being settled down, is featured.	The Sutter family found it so hard to raise a child while on assignments in space that they required counseling in tng5x22 "Imaginary Friend".
meddling parent	861	parenting			A parent shows pride in their offspring.	
motherly disappointment in a son	1257	parenting			A parent is reunited with their son after a very long time apart.	
motherly instinct	872	parenting		space rednecks	The parents of a girl attempt to force a boy to marry the girl after the said girl has been compromised by, oh dear, sexual intercourse with the boy.	Debin of the planet Altec compelled Benzan of the planet Straleb to marry his daughter Yanar in tng2x04 “The Outrageous Okona”, when it became apparent that the Stralebian had impregnated Yanar. 
on the move parenting	1267	parenting			A man raises a child alone because the mother has passed away or is absent for some other reason.	Worf having to raise Alexander as a single father was featured in tng5x10 “New Ground”.
parental pride	889	parenting			A mother raises a child alone because the father has passed away, is unknown, or is absent for some other reason.	Beverly raising Wesley as a single mother was featured in tng1x03 “The Naked Now”.
reunion with a long lost son	906	parenting			The many trials and tribulations a woman or a couple may face when the woman unexpectedly becomes pregnant are featured.	Worf was at a loss for words when K’Ehleyr showed up in tng4x07 "Reunion" and had with her the unexpected consequence of their impulse mating on the holodeck some years earlier.
shotgun wedding	1351	parenting			The many trials and tribulations involved in rearing a child while both parents work full-time jobs is featured.	Worf found it difficult to care for his son Alexander and make it to meetings on time in tng5x10 "New Ground".
single fatherhood	568	parenting			We are asked to what extent, i.e., at what time in the gestation process and by what manner, if any, abortion should be permitted.	Troi was quite taken aback when Worf indelicately suggested that she should terminate her pregnancy in tng2x01 "The Child".
single motherhood	921	parenting			We are asked to what extent, if any, people should be free to marry whom they choose, or whether parents and other interested parties should have a say.	Spock urgently returned to Vulcan for the expressed purpose of wedding, and subsequently copulating with, his arranged bride T'Pring in tos2x05 "Amok Time".
unplanned pregnancy	976	parenting			We are asked what, if any, birth control methods are acceptable.	The People of Gideon, the Space Catholics, were fundamentally opposed to using birth control as a means to solve their over-population crisis in tos3x17 "The Mark of Gideon".
working parents	1000	parenting	crime and punishment		We are asked how and when, if ever, it is acceptable to punish a criminal by death.	
abortion	745	past and present moral controversies			We are asked whether it is acceptable, or wise, to freeze one's self before death in the expectation of being revived in a distant future where medical science is more advanced.	
arranged marriage	504	past and present moral controversies			We are asked to what extent, if any, we should collectively strive to control human evolution by selective breeding. In past this has meant sterilizing or killing “undesirable” people, and subsidizing the procreation of “desirable” people. 	Doctor Stavos Keniclius 5 made a failed bid to create a galactic master race of giant Spock clones in tas1x07 “The Infinite Vulcan” - a giant Spock, of course, being the measure of eugenic perfection.
birth control	1065	past and present moral controversies		doctor assisted suicide	We are asked how and when, if ever, we should allow and assist the “merciful” killing of someone who is thought to suffer greatly without any other hope of relief.	
capital punishment	406	past and present moral controversies			We are asked when, if ever, it is acceptable to prescribe sterilization - typically in the context of crime (e.g. for sex offenders).	The Gidoneans conspicuously refused any kind of contraceptive solution in tos3x17 "The Mark of Gideon".
cryogenics	787	past and present moral controversies			We are asked to what extent, if any, information can be owned and whether there should be restrictions on the sharing and use of information through things like patents and copyright.	Harry Mudd discussed such legalisms with Kirk in tos2x12 "I, Mudd".
eugenics	459	past and present moral controversies			We are asked to what extent, if any, lesbianism should be tolerated in our society and how lesbians ought to be treated.	Beverly was propositioned by Kareel Odan in tng4x23 "The Host", alas declined.
euthanasia	635	past and present moral controversies			We are asked when, if ever, it is acceptable to prescribe lobotomization, the surgical destruction of part of someone’s brain, typically in the context of ameliorating a mental disorder. Concrete lobotomization is no longer done but surgery on the brain is sometimes necessary and there are many tough decision to wrangle.	
forced sterilization	1159	past and present moral controversies			We are asked to what extent, if any, homosexuality should be tolerated in our society and how homosexual people ought to be treated.	The J’naii’s gender identities were rather fuzzy in tng5x17 "The Outcast"; Riker’s fling with Soren may have been as close as we ever got to seeing male homosexuality in TNG.
freedom of information vs. patent system	1162	past and present moral controversies			We are asked when in life it is right and proper for a person to retire.	The Federation decided to review the mandatory retirement age of 75 in the case of Commodore April after his heroic actions in tas2x06 "The Counter-Clock Incident".
lesbianism	1224	past and present moral controversies			We are asked when, if ever, marriage between people of different ethnicities ought to be tolerated.	
lobotomization	852	past and present moral controversies			We are asked to what extent, if any, it is acceptable or wise for people to have multiple sex partners.	Argelian culture in tos2x07 "Wolf in the Fold" was sexually permissive to put it nicely.
male homosexuality	1240	past and present moral controversies			We are asked to what extent, if any, drugs used to enhance performance should be tolerated. This could be in the context of sports, the military, or a university test for example.	Three women used beauty-enhancing drugs to get ahead in the game of love in tos1x03 "Mudd's Women".
mandatory retirement	1241	past and present moral controversies			We are asked to what extent, if any, it is acceptable to willfully interfere with nature. Though breeding programs have been around for millennia, the advent of gene modification technology brings the question to a whole new level.	Reckless scientists learned a lesson about playing around with Nature when their genetically engineered super-babies turned out to be deadly company in tng2x07 "Unnatural Selection".
mixed marriage	548	past and present moral controversies			We are asked to what extent descendants are answerable for the actions of their ancestors.	For Javier Maribona Picard’s role in the reconquest of New Mexico in the 1690’s, all of Captain Picard's family was deemed to wear a stain of blood until this day in tng7x20 "Journey's End".
open sexuality in society	881	past and present moral controversies			We are asked to what extent practices like slavery, indentured servitude, etc. ought to be tolerated. While the question may seem outlandish to a pampered rich-country dweller, there are many degrees of obligatory servitude - and even outright slavery is by no means extinct in the world.	
performance enhancing drugs	1288	past and present moral controversies			We are asked to what extent, if any, it is acceptable to eat other animals.	
playing God with nature	1297	past and present moral controversies			We are asked what we think of the trappings and ideologies of the movement that started among young people now known as “Hippies” in the 60s in the USA.	
sins of the father	1353	past and present moral controversies			We are asked when and to what extent it is acceptable to colonize another land and bring your own culture there, perhaps displacing indigenous inhabitants and surely having some impact on the environment.	The Federation was preparing a seemingly lifeless planet for colonization in tng1x18 "Home Soil", but it turns out that it harbored a really unusual form of life.
slavery	483	past and present moral controversies			We are asked to what extent, if any, the cloning of human beings is acceptable.	
the eating of animals	708	past and present moral controversies			We are asked  to what extent, if any, it is acceptable or wise for us to interfere with our own genes and, by extension, our evolution as a species.	
the hippie movement	947	past and present moral controversies			We are asked to what extent, if any, transsexualism ought to be tolerated in society and how people who identify with a different gender than they were assigned at birth, ought to be treated. Are sex-change operations to be permitted or even subsidized?	Captain Kirk and Janice Lester switched genders on account of switching bodies in tos3x24 "Turnabout Intruder".
the morality of colonization	1433	past and present moral controversies			We are asked how prisons ought to be organized. Day-care centre for adults, or hell-on-Earth?	
the morality of human cloning	711	past and present moral controversies	crime and punishment		We are asked how the criminally insane ought to be treated. Just like any other prisoner, or with more compassion?	
the use of genetic engineering	963	past and present moral controversies			We are asked to what extent we should fear and, perhaps, oppose the replacement of workers by machines. The day when this definition is written by a computer may not be far off.	McCoy moaned about the M-5 multitronic unit (a computer) taking everyone’s jobs in tos2x24 "The Ultimate Computer".
transsexualism	1471	past and present moral controversies			Someone exhibits general nervousness, fear, and paranoia.	
treatment of prisoners	732	past and present moral controversies			Someone exhibits a fear of spiders.	Miles O'Brien confided in Barclay that he overcame arachnophobia by crawling into a Jefferies tube filled with twenty Talarian hook spiders in tng6x02 "Realm of Fear".
treatment of the criminally insane	972	past and present moral controversies			Someone who is not an android believes they are an android.	Distraught young Timothy decided that to be an emotionless android would be swell in tng5x11 "Hero Worship".
workers replaced by machines	1528	past and present moral controversies			Someone exhibits the false belief that they possess superior fame, ability, wealth, or power, etc.	Navigator Riley suddenly thought he was the captain in tos1x06 "The Naked Time".
acute anxiety	589	pathological state of mind			Someone exhibits a low, dark mood that at its extreme can lead to thoughts of suicide.	
arachnophobia	1042	pathological state of mind			The transition of a healthy mind into unhealthy mental disorder is featured.	Riker thought he was losing his mind in an alien insane asylum in tng6x21 “Frame of Mind”.
delusion of being an android	1122	pathological state of mind			Someone exhibits an addiction to a chemical substance.	
delusion of grandeur	1123	pathological state of mind			Someone exhibits an abnormal anxiety about the state of their own health.	
depression	521	pathological state of mind			Someone becomes or acts as if they have become intoxicated by, e.g., alcohol.	
descent into madness	377	pathological state of mind			Someone exhibits general mental illness.	
drug addiction	799	pathological state of mind			Someone exhibits a fear of being alone.	Aquiel Uhnari did not much like being all alone on Relay Station 47 in tng6x13 "Aquiel".
hypochondria	836	pathological state of mind			Someone is obsessed with exaggerated or irrational worries about being the object of hostility, conspiracy, etc.	
intoxication	843	pathological state of mind		psychopathic criminal in society, treatment of the criminally insane	Someone exhibits persistent antisocial behaviour, impaired empathy, and abnormal egotism.	
mental illness	472	pathological state of mind			Someone exhibits the symptoms that come from not having been able to sleep adequately.	Alien influences prevented the crew from being able to dream which made them angry and violent in tng4x17 "Night Terrors".
monophobia	1253	pathological state of mind			A hostage victim comes to feel affection for their captor.	Beverly came to empathize with her kidnapper, the terrorist leader Kyril Finn, in tng3x12 "The High Ground".
persecution complex	478	pathological state of mind			Someone is beset by dark emotions to a degree that their behavior is influenced.	Data suddenly became angry, spiteful and filled with hate in tng6x26 "Descent"; he succumbed and turned against his former friends.
psychopathy	685	pathological state of mind			Someone suppresses strong emotions and suffers the consequences that come thereof.	
sleep deprivation	1355	pathological state of mind			Someone is found to have suppressed uncomfortable memories.	Riker was found to have suppressed the memory of a vivisection in which his arm was severed in tng6x05 "Schisms".
Stockholm Syndrome	743	pathological state of mind			Someone exhibits an irrational fear of being physically disintegrated and then reconstituted at a remote location.	Barclay was diagnosed with this condition in tng6x02 “Realm of Fear”.
succumbing to dark emotions	1395	pathological state of mind			Someone exhibits an addiction to a video game.	
suppressed emotion	930	pathological state of mind			Someone must choose between two incompatible causes that both appear to be equally just.	
suppressed memories	1399	pathological state of mind			Someone is forced to choose between acting with compassion toward another, and saving his or her own skin.	
transporter phobia	970	pathological state of mind			Someone must choose whether or not to commit unsavory acts in order to save their own skin.	
video game addiction	982	pathological state of mind			A common category of tough decisions that involve choosing between ones “duty” to something (typically a job or a leader) on one hand, and some conflicting cause or impulse on the other.	
choosing between just causes	452	personal ethical dilemma			Someone must choose whether or not to accept an unsavoury agreement for the sake of helping a friend.	Captain Picard made a deal with the devil Armus to save Troy but Armus got bedeviled in tng1x23 "Skin of Evil".
compassion vs. self-preservation	453	personal ethical dilemma			Someone is made to choose between what they desire for themselves on the one hand, and a cause of action they know to be morally the right on the other.	
compromising one's ethical principles vs. self-preservation	509	personal ethical dilemma			Someone must choose whether or not to actively destroy an ancient relic to save the entire universe. This may not seem like a hard choice to most of us, but perhaps it would be to a devoted archaeologist.	Captain Picard decided to destroy the Tox Uthat to keep it away from possibly evil time travelers in tng3x19 "Captain's Holiday".
conflict of duty	70	personal ethical dilemma			Someone gets the opportunity to grab power with which to shape their world, and must choose whether they are really up to the task.	
deal with the devil to save a friend	1120	personal ethical dilemma			Someone must choose whether or not they will kill to save their own life.	
desire vs. conscience	412	personal ethical dilemma			Someone must choose between their sense of fairness on one hand, and their desire to gain an advantage on the other.	
destroying an ancient relic vs. saving the universe	1125	personal ethical dilemma			Someone must choose whether to accept their own demise, typically death or capture, or whether to callously sacrifice a friend to save themself.	Captain Kirk decided to maroon his old friend Gary on an uninhabited planet after Gary developed dangerous psychic abilities in tos1x01 “Where No Man Has Gone Before”.
grabbing power vs. forgoing power	652	personal ethical dilemma			Someone must choose between their own life and the life of a friend.	
kill or be killed	351	personal ethical dilemma			Someone must choose between saving an entire people on one hand, and saving their own skin on the other.	
playing it fair vs. taking an advantage	894	personal ethical dilemma			Someone must choose whether or not to commit unsavory acts in order to save innocent people.	Riker could have saved mining colonists and a dead child with his new Q-powers in tng1x10 "Hide and Q" if he had broken his word to Picard.
sacrificing a friend to save one's self	1336	personal ethical dilemma			Someone must choose between two people, or two groups of people, that are roughly equal as far as the chooser is concerned. The one picked will be saved and the other condemned.	The Vians went about choosing which one of two Minaran civilizations to save from an impending supernova in a most curious manner in tos3x08 “The Empath”.
saving a friend vs. self-preservation	912	personal ethical dilemma			When someone has a calculated life-and-death decision to make, such as: saving two moderately close friends with 50% probability vs. saving a dozen perfect strangers with 60% probability. The details spelled out here for illustration are typically left ambiguous in real stories. 	
saving a people vs. self-preservation	913	personal ethical dilemma			Someone must choose between the life of a close friend on one hand, and the lives of a group of other people on the other.	Captain Picard was in a crux when Natasha Yar got abducted by ebony skinned aliens who held a desperately needed vaccine in tng1x04 "Code of Honor".
saving innocent lives vs. compromising one's ethical principles	1339	personal ethical dilemma			Someone must choose between the life of a loved one on one hand, and a general good, such as a cure for cancer, on the other.	Captain Kirk had to let his lover Edith Keeler die in order to restore the timeline in tos1x28 "The City on the Edge of Forever".
Sophie's choice	367	personal ethical dilemma			Someone must choose whether to satisfy their own blood thirst, lust for vengeance, etc., on one hand, or to show mercy, compassion, etc., on the other.	
the calculus of human life	211	personal ethical dilemma			Someone must choose between telling a comforting white lie on one hand, and being honest on the other.	
the life of a friend vs. the lives of many	1429	personal ethical dilemma			Someone must choose whether or not to kill an entire sentient species to acquire wealth. Outlandish as this may sound, mankind has a long history of engaging in intellectual sophistry for the sake of personal gain; remember the North American slave trade.	The miners on Janus VI were faced with that eternal human ethical dilemma: to give up a lucrative source of wealth or kill off a race of intelligent beings, in tos1x26 "The Devil in the Dark".
the life of a loved one vs. the good of humanity	1430	personal ethical dilemma			Someone must decide, in a given situation, which approach is the better way to get another person to act as they should: the threat of consequence (the stick), or the promise of reward (the carrot).	
to kill or to spare	969	personal ethical dilemma			Someone must decide, in a given situation that involves significant uncertainty, which among various courses of action is the better.	
to tell the truth vs. offering a comforting lie	580	personal ethical dilemma			Someone must decide, in a given confrontational situation, whether the better course of action is to stay and fight or to flee (perhaps to survive to fight another day).	
xenocide vs. foregoing personal gain	1532	personal ethical dilemma			Someone must choose in a search-and-rescue situation, whether and when the better course of action becomes to give up hope.	Captain Kirk and Commissioner Ferris debated whether to keep up the search for the Galileo shuttlecraft in tos1x13 "The Galileo Seven".
carrot vs. stick	603	personal practical dilemma			Someone must decide, in a given situation, which course of action is the better: the one dictated by their gut instinct or the one dictated by their head (logic).	
decision making in the face of uncertainty	790	personal practical dilemma			Someone must decide, in a given situation, which course of action is the better: the risky one with (perhaps) a high reward or the relatively safe one that has but small reward.	
fight vs. flee	645	personal practical dilemma			Someone must decide, in a given social situation regarding some delicate matter and another person, which is the better course of action: to discuss things privately or to confront the other person openly.	Unlike Captain Maxwell, Captain Picard choose to bring up the matter of covert aggression informally with their Cardassian adversaries in tng4x12 "The Wounded".
hopeless search vs. to abandon hope	1196	personal practical dilemma			Someone, typically a parent or mentor, must choose in a given situation whether to be harsh with a another for their own good.	
logic vs. gut feeling	284	personal practical dilemma			Someone must choose whether a potential foe is to be trusted.	
risk taking vs. playing it safe	157	personal practical dilemma			Someone must choose whether another’s judgement can be trusted even though their intentions are above reproach.	
to publicly confront vs. to privately discuss	1468	personal practical dilemma	Plutchik-emotion	admiration, trust	A character exhibits a mild feeling of being “okay” with someone or something. This is typically used when character shows a willingness to tolerate someone who is unpleasant to their sensibilities.	
tough love	729	personal practical dilemma	Plutchik-emotion	acceptance, trust	A character exhibits a strong feeling of approval that is grounded in "acceptance" and "trust" in a person of competence, talent, or skill exceeding standards. 	
trust in a potential foe	174	personal practical dilemma	Plutchik-emotion	distraction, surprise	A character exhibits a feeling of astonishment, a stronger version of the theme “surprise”, bordering on disbelief. This is typically used when a character experiences something truly wondrous, like meeting a god.	William T. Riker was amazed to meet his duplicate Thomas Riker in tng6x24 "Second Chances".
trust in intentions vs. trust in judgement	733	personal practical dilemma	Plutchik-emotion	interest, vigilance	A character feels that something significant but inevitable is about to happen. It is implicit that the character expresses "interest" about the impending happening, but "vigilance" is unwarranted, since it cannot be changed.	Captain Kirk, Spock, and McCoy anticipated being tortured to death by the Vians in tos3x08 "The Empath".
acceptance	204	pleasant emotion			A character exhibits a strong feeling of wonder and amazement, often tinted with a dash of fear and reverence.	
admiration	116	pleasant emotion			A character exhibits a feeling of euphoric but serene happiness.	
amazement	205	pleasant emotion			A character exhibits a feeling of resolve, i.e., that one will remain firm in one’s purpose.	
anticipation	196	pleasant emotion	Plutchik-emotion	amazement, surprise	A character exhibits a feeling of mild "surprise" for something, that is just enough to prevent one from concentrating on other things.	Captain Picard was interrupted numerous times while attempting to practice on his Ressikan flute in the comfort of his private quarters in tng6x08 "A Fistful of Datas".
awe	596	pleasant emotion	Plutchik-emotion	joy, serenity	A character exhibits a rapturous feeling of excitement that rises above what would properly be called "joy" in that they experience a loss of self-control.	Captain Kik indulged himself in a prolonged and joyous self-hug on the idyllic planet Amerind in tos3x03 "The Paradise Syndrome".
bliss	759	pleasant emotion			A character feels that events they wish for may come about.	
determination	324	pleasant emotion	Plutchik-emotion	anticipation, vigilance	A character exhibits a mild feeling of wanting to find out more about, or to experience, something.	Spock managed to get a visual of Balok up on the Enterprise viewscreen out of a desire to see how the alien appeared in tos1x02 "The Corbomite Maneuver".
distraction	148	pleasant emotion	Plutchik-emotion	ecstasy, serenity	A character exhibits a feeling of great pleasure or happiness that rises above the calm feeling of "serenity", but not so much that they lose self-control, as would be the case with "ecstasy".	
ecstasy	177	pleasant emotion		romantic love, familial love	This category of themes concern that feeling of deep affection and attachment toward someone or (occasionally) something. Sexuality may or may not be involved:	
hope	655	pleasant emotion			A character exhibits a feeling of sentimentality, longing for the days of yore, etc.	Scotty drunkenly relived his glory days in a holodeck simulation of the original Enterprise bridge in tng6x04 "Relics".
interest	95	pleasant emotion	Plutchik-emotion	joy, ecstasy	A character exhibits a feeling of calm and contentment without the pleasure or happiness that come with the experience of "joy".	
