Theme	ThemeID	ParentTheme	Domain	RelatedThemes	Tags	Definition	Example
spontaneous generation	1135	discredited scientific theory	the pursuit of knowledge			The discredited theory according to which different types of life repeatedly emerge from inanimate matter, like fleas emerging from dust, or maggots from carrion.	Beverly discovered that a virus, which had infected a large proportion of the Enterprise-D crew, spontaneously generated from a certain chemical when brought into contact with the lungs in tng1x14 "Angel One".
spontaneous planetary break up	1136	force majeure existential risk	alternate reality			A planet suddenly breaks apart and becomes rubble for no particular reason.	Planets in the Selcundi Drema sector were spontaneously breaking up as a result of natural geologic cataclysms in tng2x15 "Pen Pals".
stand up comedy	1137	the fine arts and the humanities	the pursuit of knowledge			The art of making a group of people laugh is featured.	Data tried to learn the art of stand-up comedy on the holodeck in tng2x04 "The Outrageous Okona" but not even the juxtaposition of female attire and an amphibian briefcase could make him laugh.
standing up to a boss	1138	facing general adversity	the human condition			Someone confronts their boss over perceived unfair treatment.	
standing up to a bully	1139	facing general adversity	the human condition			Someone defends themself against a bully.	Worf stood up to his bully of a brother Kurn in tng3x17 "Sins of the Father".
star desert	1140	what's out there	alternate reality			A hypothetical vast region of space inside a galaxy devoid of any stars.	The powerful alien Trelane created the planet Gothos in the middle of a "star desert" in tos1x18 "The Squire of Gothos", in order to amuse himself.
starship invisibility cloak	1141	starship technology	alternate reality			Technology that renders a spaceship invisible.	
starship technology	1142	novel sci-fi concept	alternate reality			The category of themes that toy with ideas for how to build starships, i.e., spaceships for interstellar travel.	
starship that can fly within a sun	1143	starship technology	alternate reality			Technology that makes it possible for a spaceship to fly intact within a sun, i.e., while being somehow shielded from the heat.	Equipped with Dr. Reyga’s metaphasic shield, the shuttlecraft Justman was able to fly safely through the star Vaytan’s dense and unstable Corona in tng6x22 "Suspicions".
starship that can fly within solid matter	1144	starship technology	alternate reality			Technology that makes it possible for a space ship to somehow fly intact through solid matter.	Rear Admiral Erik Pressman, Riker’s old captain, violated the Treaty of Algeron to bring such technology to the Federation in tng7x12 "The Pegasus".
stasis box	1145	fictional apparatus	alternate reality			A box used to preserve its contents indefinitely, as if frozen in time.	The versatile Slaver gun had been kept safely in a stasis box for a billion years in tas1x14 "The Slaver Weapon".
state of mind	1146	human personality	the human condition			The category of themes that center on complicated internal mental states that are not described as simple emotions, i.e., disorders and the like. "Depression" and "obsession" are illustrative examples.	
statute of limitations	1147	contemporary social issue	society			A statutory maximum time that may elapse between a crime and the initiation of legal proceedings for that crime is featured.	Did Kodos the Executioner really deserve to be persecuted 20 years after his alleged crime in tos1x12 "The Conscience of the King"?
stellar nursery	1148	what's out there	alternate reality			A ginormous molecular cloud inside which stars form.	The Enterprise-D passed through such a place in tng3x24 "Ménage à Troi" and it played hell with communications.
stellar rejuvenation	1149	mastering space	alternate reality			A dying star is somehow rekindled and brought back to a more agreeable state of activity.	The Enterprise-D helped a scientist from Kaelon II to put new life into their fading sun in tng4x22 "Half a Life".
stepping up to the task	1150	introspection	the human condition			Someone makes an effort beyond what they normally would.	
stray astronomical object	1151	force majeure existential risk	alternate reality			A rouge planet or other large astronomical object that is not tied to a particular star comes into collision course with a populated planet.	The genetically engineered colonist utopia on Moab IV was threatened by a stray stellar core fragment from a collapsed neutron star in tng5x13 "The Masterpiece Society".
struggling with a life-changing decision	1152	coping with having to do something	the human condition			Someone copes with the stress and pressure that comes with making a life-changing decision.	Wesley struggled with whether or not to quit Starfleet Academy to go galavanting around the galaxy with his friend the Traveler in tng7x20 "Journey's End".
stubbornness	1153	disagreeable characteristic	the human condition			Someone is determined to do as they please, and not as others want.	Pulaski was intent on releasing a potentially disease infected child from its styrolite casing to conduct further testing in spite of Captain Picard's objections in tng2x07 "Unnatural Selection".
subatomic bacteria	1154	parasitic life form	alternate reality		aliens	A non-sentient life form that is to an atom as a common bacteria is to, say, a human skin cell.	Both the Enterprise-D and the Klingon vessel IKS Pagh were in danger when their hulls got infested by a tritanium eating subatomic bacteria in tng2x08 "A Matter Of Honor".
succumbing to dark emotions	1155	pathological state of mind	the human condition			Someone is beset by dark emotions to a degree that their behavior is influenced.	Data suddenly became angry, spiteful and filled with hate in tng6x26 "Descent"; he succumbed and turned against his former friends.
sucking up	1156	one-on-one interaction	the human condition			Someone fawns over another in order to gain their general support or affection.	
suicide bombing	1157	war	society			Someone, who can typically be labelled a terrorist, blows themself up while trying to do damage to their perceived enemy at the same time.	
suicide in society	1158	contemporary social issue	society			The social ramifications of people taking (and wishing to take) their own lives, are explored.	Troi investigated the suicide of Lt. Daniel Kwan, learned about another suicide long ago, and ended up nearly taking her own life in tng7x18 "Eye of the Beholder".
sun going supernova	1159	force majeure existential risk	alternate reality			The sun to a planet enters its supernova state and civilization is fried like so many chickens.	
super high-yield grain	1160	real gadget	alternate reality			A grain that has been genetically engineered to yield much more usable food than its original. This was sci-fi in the 60s. A gene modified plant (antibiotic-resistant tobacco) was first developed in 1982.	Quadrotriticale was a high-yield genetically modified grain, and the only Earth grain that could grow on Sherman’s Planet, in tos2x13 "The Trouble with Tribbles".
super spy pen	1161	fictional apparatus	alternate reality			A pen-like device used to make all sorts of things happen at the push of a button.	Agent Gary Seven used such a pen to save the Earth from nuclear holocaust in tos2x26 "Assignment: Earth".
superior life form	1162	novel alien concept	alternate reality		aliens	The category of themes that posit aliens with for us unfathomable capabilities that more often than not seem like magic. Incorporeal and god-like aliens belong here.	
supernova	1163	what's out there	alternate reality			A giant exploding star.	
superstition	1164	the domain of faith	the pursuit of knowledge			The category of assorted beliefs that are neither rational nor fall within the typical framework of organized religious activity. They range from faith healing to spirit worship.	
suppressed emotion	1165	pathological state of mind	the human condition			Someone suppresses strong emotions and suffers the consequences that come thereof.	
suppressed memories	1166	pathological state of mind	the human condition			Someone is found to have suppressed uncomfortable memories.	Riker was found to have suppressed the memory of a vivisection in which his arm was severed in tng6x05 "Schisms".
surprise	1167	pleasant emotion	the human condition	amazement, distraction	Plutchik-emotion	A character exhibits a feeling of mild astonishment stemming from the experiencing of something unexpected. This is a stronger version of the theme "distraction", but not so strong as the theme "amazement".	Captain Kirk was somewhat taken aback to hear that Spock's brain had been stolen in tos3x06 "Spock's Brain".
survival	1168	facing adversity	the human condition			The category of themes that are about facing situations where life itself is at stake.	
survival of one's species	1169	survival	the human condition			Someone learns what it is like to fight for the survival of the last remnants of their entire race.	
surviving an existential risk	1170	survival	the human condition			Someone learns what it is like to have barely survived a cataclysmic event that could have wiped out their entire race.	
suspended animation	1171	human enhancement	alternate reality	cryogenic technology		Technology that can considerably slow basic life processes, e.g., breathing or a heartbeat, in a manner that allows for subjects to be later revived.	
swallowing one's pride	1172	introspection	the human condition			Someone acknowledges their instinctive feelings of pride but consciously strives not to be arrogant.	
symbiosis	1173	topic in science	the pursuit of knowledge			A mutually beneficial and often long-term interaction between different biological species.	
symbiotic alien	1174	biologically distinguished life form	alternate reality	parasitic alien	aliens	A sentient species that lives in a close interdependent relationship with an entirely different species. Both receive some benefit from the arrangement which would otherwise be called parasitic.	The humanoid Trill Odan was found to to have a bug-like symbiont inside his body In tng5x24 "The Host".
symbolic language alien	1175	culturally distinguished life form	alternate reality		aliens	An alien race whose written language is composed of non-phonetic symbols.	The D'Arsay had such a language in tng7x17 "Masks".
symbolism	1176	problem of language and meaning	society			The idea of how various symbols can represent complex ideas is illustrated.	
sympathetic magic	1177	superstition	the pursuit of knowledge			There is a kind of supposed magic that involves effigies and images of a target, e.g., voodoo dolls and the like.	Extradimensional aliens found memories of such things in the human subconsciousness and used the knowledge scare Captain Kirk and his crew in tos2x01 "Catspaw".
table manners	1178	manners	the human condition			The importance of, for example, not tearing into a bloody steak with your bare hands in polite company is featured.	Captain Kirk gave Elaan, the Dohlman of Elas, a lesson in table manners in tos3x02 "Elaan of Troyius".
take-you-anywhere gateway	1179	fictional apparatus	alternate reality			A portal-like device which can let you pass through it in order to appear anywhere else in the universe.	
taking responsibility for one's actions	1180	introspection	the human condition			Someone is honest about negative consequences of their actions, as opposed to engaging in self-deception.	
taking the law into one's own hands	1181	conflict of duty	the human condition			Someone can’t wait for law-enforcement and instead takes matters into their own hand by, e.g., tracking down and killing criminals.	
tap dancing	1182	the fine arts and the humanities	the pursuit of knowledge			The art of punishing parquetry using wooden shoes is featured.	Beverly "the dancing doctor" put her tap dancing skills on display in tng4x11 "Data's Day".
tardiness	1183	disagreeable characteristic	the human condition			Someone is conspicuously late for a scheduled activity.	Wesley dozed off in the science lab and was subsequently late for duty in tng3x01 "Evolution".
teen romance	1184	romantic relationship	the human condition			Young people engage in romantic relationships, typically for their first time.	
teenage angst	1185	growing up	the human condition	adolescence	juvenile	A teenager feels anxious about fitting in and being misunderstood as teenagers so often do.	
teleconferencing	1186	real gadget	alternate reality			A system that transmits both sound and video to enable two-way real-time communication. This was (pretty much) sci-fi in the 60s but has become common stock since then.	Captain Kirk and his crew conferred in such a way in tos2x26 "Assignment: Earth".
telekinesis	1187	superstition	the pursuit of knowledge			Someone is thought to be able to manipulate objects at a distance, using only the power of their mind.	
telepathic alien	1188	mentally distinguished life form	alternate reality	empathic alien	aliens	An alien that communicates telepathically with or read the thoughts of others.	
telepathically linked aliens	1189	mentally distinguished life form	alternate reality		aliens	Aliens that link with each other in semi-permanent telepathic communication.	
teleportation device	1190	fictional apparatus	alternate reality			A device used to move people and objects over vast distances by transforming matter into energy and the reconstituting the matter at the destination.	
temperance	1191	heavenly virtue	the human condition	gluttony		Someone abstains from hedonism and seems like a pretty ascetic fellow, choosing a straightforward and simple lifestyle.	Robert Picard, the elder brother of Jean-Luc Picard, was a man of moderation. In tng4x02 "Family" it was revealed that Robert would not even allow food replicators in his home.
terraformed planet	1192	mastering space	alternate reality			The climate and environment on a planet is engineered to make it more Earth-like.	
terraforming	1193	scientific discipline	the pursuit of knowledge			The scientific study of methods by which another planet can be made more Earth-like.	
terror	1194	unpleasant emotion	the human condition	apprehension, fear	Plutchik-emotion	Someone experiences "fear" to the point of panic, i.e., they freeze up or otherwise loose control of themself.	Ensign Haskell died of sheer terror in tng2x02 "Where Silence Has Lease".
terrorism	1195	war	society			Attacks are characterized as "terrorism" by others. There is no objective definition, but the attacks typically target civilians and the attacker is not a conventional military carrying out normal war operations.	
terrorist or freedom fighter	1196	views and customs	society			We are shown that a group that is seen as vicious terrorists by some may well be seen as heroic freedom fighters by others.	
test of loyalty	1197	the art of war	the pursuit of knowledge			A commander is unsure of their subordinate’s loyalty and arranges a temptation to see whether they will commit treason or not.	Romulans tested their commander Jarok’s loyalty by enticing him to defect to the Federation in tng3x10 "The Defector". Jarok was so upset he ingested a felodesine chip to kill himself.
the Egyptian gods	1198	organized religion	the pursuit of knowledge			The pantheon worshipped by the ancient Egyptians some 3000 years ago.	Though not known to be connected, the culture and mythology of the D’Arsay was just like that of ancient Egypt in tng7x17 "Masks".
the Greek gods	1199	organized religion	the pursuit of knowledge			The pantheon of gods worshipped by the ancient Greeks some 2500 years ago.	Greek God Apollo appeared in tos2x04 "Who Mourns for Adonais?".
the Greek gods were really aliens	1200	crackpot theory	the pursuit of knowledge	Chariots of the Gods	aliens	The crackpot notion that the Greek gods actually existed along side humans in Ancient Greece, but that they were aliens.	The alien Apollo revealed himself to have been the Apollo of the Ancient Greeks to the Enterprise crew in tos2x04 "Who Mourns for Adonis?".
the Mayan gods	1201	organized religion	the pursuit of knowledge			The pantheon of gods worshipped by the classic or post-classic Mayans some 1000-2000 years ago.	Mayan God Kulkulkan appeared in tas2x05 "How Sharper Than a Serpent's Tooth".
the Mayan gods were really aliens	1202	crackpot theory	the pursuit of knowledge	Chariots of the Gods	aliens	The crackpot notion that the Mayan gods actually existed along side the Ancient Mayans, but they were aliens.	Kulkulkan revealed itself to have been the Ancient Mayan god of the same name to the Enterprise crew in tas2x05 "How Sharper Than a Serpant's Tooth".
the Roman gods	1203	organized religion	the pursuit of knowledge			The pantheon of Gods worshipped by the ancient Romans some 2000 years ago.	Unsurprisingly in light of Hodkin’s Law of Parallel Planetary Development, these gods were also worshiped by the Space Romans of planet 892-IV in tos2x14 "Bread and Circuses".
the admiration for strength	1204	human nature	the pursuit of knowledge			The human tendency to fawn over strong and powerful beings (or things) is featured.	
the afterlife	1205	organized religion	the pursuit of knowledge	the soul		The idea that we somehow continue to exist in spirit after we die is discussed.	Ro and Geordi thought they might have died and become wandering spirits in tng5x24 "The Next Phase", before finding out that they had merely been phase shifted.
the art of flattery	1206	human nature	the pursuit of knowledge			How and why we feel flattered is discussed.	
the art of smalltalk	1207	human nature	the pursuit of knowledge			The human tendency to sometimes engage in mostly meaningless and idle chit-chat is featured.	Data studied the master of smalltalk Calvin "Hutch" Hutchinson in tng6x18 "Starship Mine".
the art of war	1208	the domain of reason	the pursuit of knowledge			The category of themes that discuss the best ways to conduct fights and warfare. Humanity should be embarrassed that this is such a large theme group.	
the battle of the sexes	1209	gender issue	society			The category of themes that are about some aspect of the debates and struggles for supremacy between the male gender and the female gender.	
the beauty of nature	1210	human pleasure	the human condition			The human susceptibility for taking satisfaction in scenes of serene natural beauty is shown.	The whole crew in turns got to admire the beauty of the magical amusement planet now known as the "Shore Leave Planet" in tos1x17 "Shore Leave".
the biology of high yield grain	1211	topic in technology	the pursuit of knowledge			High-yield grain is any variety of ordinary grain that has been bred, genetically modified, or fertilized to increase yield amounts.	Quadrotriticale was a genetically engineered hybrid of wheat and rye developed in 20th century Canada and a favorite food of tribbles in tos2x13 "The Trouble with Tribbles".
the bureaucrat at command	1212	group interaction	the human condition			A paper-pusher with little practical experience of how things are done is suddenly in command of a group in the field.	When Captain Kirk started to loose his wits due to rapid aging, Commodore George Stocker took command of the Enterprise in tos2x11 "The Deadly Years" but not having any field experience he of course made a mess of it.
the butterfly effect	1213	topic in science	the pursuit of knowledge			The notion that a small change in the initial conditions of a system can result in large differences in a later state.	
the calculus of human life	1214	personal ethical dilemma	the human condition			When someone has a calculated life-and-death decision to make, such as: saving two moderately close friends with 50% probability vs. saving a dozen perfect strangers with 60% probability. The details spelled out here for illustration are typically left ambiguous in real stories.	
the chemistry of gunpowder	1215	topic in technology	the pursuit of knowledge			Gunpowder is a mixture of sulfur, charcoal, and potassium nitrate (saltpeter) with the sulfur and charcoal acting as fuels, while the saltpeter functions as an oxidizer.	Captain Kirk knew this well and used the knowledge to defeat his Gorn enemy in the legendary fight to the death in tos1x19 "Arena".
the dangers of unfettered scientific advancement	1216	contemporary social issue	society		science	The dangers of scientific experiments going out of control with disastrous consequences for society, or the results of scientific discovery being used for mass destruction, are explored.	
the desire for glory	1217	human aspiration	the human condition			Someone wants nothing better than to become famous for great and grand achievements such as the vanquishing of foes.	
the desire for justice	1218	human aspiration	the human condition			Someone seeks righteous, and typically lawful, vengeance upon some miscreant.	Riker and his team wanted to bring Captain Picard’s presumed murderers to justice in tng7x04 "Gambit, Part I".
the desire for personal development	1219	human aspiration	the human condition			Someone wants nothing better than to improve on their own competences and character.	
the desire for prestige	1220	human aspiration	the human condition			Someone wants nothing better than to become pre-eminently respected in their community.	
the desire for redemption	1221	human aspiration	the human condition			Someone seeks to make up for past misdeeds and gain forgiveness.	Worf and his brother Kurn together sought redemption for the father's soiled reputation in tng4x26 "Redemption" and again in tng5x01 "Redemption, Part II".
the desire for vengeance	1222	human aspiration	the human condition			Someone, rightly or wrongly, seeks vengeance for a perceived personal injustice.	
the desire to advance one's career	1223	human aspiration	the human condition			Someone seeks ever further promotion, influence, rank, and salary at work.	
the desire to be beautiful	1224	human aspiration	the human condition			Someone wants nothing less than to look good.	
the desire to be worshiped	1225	human aspiration	the human condition			Someone wants nothing less than for others to worship them like a god.	The alien Apollo craved worshipers in tos2x04 "Who Mourns for Adonais?".
the desire to pursue one's dream	1226	human aspiration	the human condition			Someone has wishes to pursue unusual or fanciful ambitions that most people typically do not spend their lives persuing.	
the devil	1227	organized religion	the pursuit of knowledge			A being of pure evil that is posited by some religions, i.e., the antithesis of the Christian God.	
the devil was really an alien	1228	crackpot theory	the pursuit of knowledge		aliens	The crackpot notion that the devil of Judeo-Christian lore is really an alien.	Lucien, a friendly alien from the magical world of Megas-Tu, was revealed to have been known as Lucifer on Earth millennia ago in tas1x08 "The Magicks of Megas-tu".
the domain of faith	1229	the pursuit of knowledge	the pursuit of knowledge			The category of themes that are about faith, i.e., beliefs that are held to be a matter of instinct or revelation and not subject to rational inquiry by arrogant scientists.	
the domain of reason	1230	the pursuit of knowledge	the pursuit of knowledge			The category of themes that are about the investigation of how the world works by means of logic and the scientific method, i.e., observation and experimentation.	
the eating of animals	1231	past and present moral controversy	society			We are asked to what extent, if any, it is acceptable to eat other animals.	
the end justifies the means	1232	social ethical dilemma	society			The following dilemma is illustrated: Can wicked policies, such as oppression, lead to socially good outcomes? Are the policies morally justified if so?	
the end of the world	1233	organized religion	the pursuit of knowledge			A religious doctrine that predicates the end of all material things for one reason or another is featured.	The people of Ventax II thought the prophesied end was neigh when their devil seemed to appear in the flesh in tng4x13 "Devil's Due".
the ethics of killing in self-defense	1234	ethics	the pursuit of knowledge			The question of how killing in self-defense can or cannot be justified is discussed.	
the ethics of valuing human lives	1235	ethics	the pursuit of knowledge			How we can come to terms with the fact that sometimes some people’s lives may be more important to preserve than others’ is discussed.	
the fine arts and the humanities	1236	the domain of reason	the pursuit of knowledge			The category of themes that are about art forms and the study of human society. They range from painting to tap dancing, from calligraphy to stand up comedy, and from rhetoric to anthropology.	
the flip side of immortality	1237	life lesson	the human condition			Someone lives so long that they start to see the downsides to "immortality", i.e., the boredom and lack of purpose.	
the four elements	1238	discredited scientific theory	the pursuit of knowledge			An antiquated theory advanced by the ancient Greeks that earth, water, air, and fire are the fundamental constituents of all matter.	Data debunked this theory in front of a classroom of Barkonian kids in tng7x16 "Thine Own Self" to their teacher's chagrin.
the fulfillment of prophesy	1239	organized religion	the pursuit of knowledge			The idea that the divinely inspired prognostications of holy prophets are on the verge of coming to fruition.	
the ghost was really an alien	1240	crackpot theory	the pursuit of knowledge		aliens	The crackpot speculation that ghosts are actually aliens.	Beverly’s ghost-like lover Ronin turned out to be just another nefarious alien in tng7x04 "Sub Rosa".
the good of the many vs. the needs of the few	1241	social ethical dilemma	society			The following kind of dilemma is illustrated: In choosing between two incompatible policies, if one is somewhat beneficial to a large number of people while the other is many times more important to a smaller number of people, how do we decide which is morally preferable?	
the greatest among us is the smallest in another world	1242	views and customs	society			We are shown that the famous people we may admire and worship are only "great" on a very limited human scale. In the larger scheme of things none of us stands out all that much from the rest.	Captain Kirk and his crew were harassed by an alien with unimaginable powers until its parents appeared in tos1x18 "The Squire of Gothos".
the greenhouse effect	1243	topic in science	the pursuit of knowledge			Certain gasses in the Earth's atmosphere (e.g. carbon dioxide) trap heat from the sun, making the planet hotter than it would be otherwise.	Global warming is normally viewed as a bad thing, but when Penthara IV got hit by a type C asteroid in tng5x09 "A Matter of Time", a dose of the greenhouse effect was in fact the prescribed cure.
the hippie movement	1244	past and present moral controversy	society			We are asked what we think of the trappings and ideologies of the movement that started among young people now known as "Hippies" in the 60s in the USA.	
the horrors of war	1245	war	society			The terrible impact war has on ordinary people is featured.	
the human mind and big numbers	1246	human nature	the pursuit of knowledge			The problem our brain has with comprehending very large numbers is featured. How does the radius of the universe compare with, say, the length of your nose?	Spock pointed out in tos2x19 "The Immunity Syndrome" how the human mind finds it easier to understand the death of one than the death of a million.
the importance of not displaying weakness	1247	the art of war	the pursuit of knowledge			The ramifications of displaying weakness in front of one’s enemy is featured.	Spcok argued rationally for attack in tos1x08 "Balance of Terror", because anything else would be a sign of weakness.
the importance of patience in communication	1248	life lesson	the human condition			It is illustrated that impatience can be an impediment to good communication.	Thanks to the patient persistence of Captain Dathon in tng5x02 "Darmok", Captain Picard finally gained the ability to communicate with the Children of Tama.
the importance of punctuality	1249	group interaction	the human condition			Someone causes trouble and discord by not keeping their appointments.	The Tholians were renown for their punctuality in tos3x09 "The Tholian Web".
the instinct for violence	1250	human nature	the pursuit of knowledge			The all too familiar human penchant for violence is discussed.	The Melkotians deplored the human instinct for violence and sought to turn it against the Enterprise crew in tos3x01 "Spectre of the Gun".
the joys of love	1251	human pleasure	the human condition			The ephemeral feelings of euphoria that sometimes comes to those who fall joyfully and blissfully in love are featured.	McCoy summed up the ecstasies, miseries, and "glorious victories" of love to Spock in tos3x21 "Requiem for Methuselah".
the letter of the law vs. the spirit of the law	1252	social ethical dilemma	society			The following dilemma is illustrated: Language and writing is fallible and there is always ambiguity and room for misunderstanding. So to what extent should the law be obeyed to the letter, and to what extent should we instead look to the intent of the legislators and, ultimately, our own sense of right and wring?	
the life of a friend vs. the lives of many	1253	personal ethical dilemma	the human condition			Someone must choose between the life and/or well being of a close friend on one hand, and the lives and/or well being of a group of other people on the other.	Captain Picard was in a crux when Natasha Yar got abducted by ebony skinned aliens who held a desperately needed vaccine in tng1x04 "Code of Honor".
the life of a loved one vs. the good of humanity	1254	personal ethical dilemma	the human condition			Someone must choose between the life of a loved one on one hand, and a general good, such as a cure for cancer, on the other.	Captain Kirk had to let his lover Edith Keeler die in order to restore the timeline in tos1x28 "The City on the Edge of Forever".
the logic of reverse psychology	1255	topic in science	the pursuit of knowledge			The psychology behind the advocacy of one course of action in such a way as to persuade someone to take an opposite course.	Data contemplated the use of reverse psychology to persuade the colonists of Tau Cygna V to evacuate before the Sheliak arrived in tng3x02 "The Ensigns of Command".
the lust for gold	1256	human aspiration	the human condition			Someone wants nothing better than to acquire more money and possessions.	
the lust for power	1257	human aspiration	the human condition			Someone seeks ever more influence in society and the means to make people do their bidding.	
the making of a monster to society	1258	contemporary social issue	society			The social factors involved in the development of a psychopathic criminal are explored.	Armus became a being of pure evil when the Titans left him behind in tng1x23 "Skin of Evil".
the mechanics of firearms	1259	topic in technology	the pursuit of knowledge			Typically, the pulling of a trigger causes a hammer to snap forward and trigger an explosion (of some sort) that propels a bullet out from an elongated metal barrel at high velocity and in the direction of a designated target.	The Klingons supplied primitive townspeople on planet Neural with increasingly advanced firearms with which to wage war against the local hill people in tos2x16 "A Private Little War".
the morality of colonization	1260	past and present moral controversy	society			We are asked when and to what extent it is acceptable to colonize another land and bring your own culture there, perhaps displacing indigenous inhabitants and surely having some impact on the environment.	The Federation was preparing a seemingly lifeless planet for colonization in tng1x18 "Home Soil", but it turns out that it harbored a really unusual form of life.
the morality of human cloning	1261	past and present moral controversy	society			We are asked to what extent, if any, the cloning of human beings is acceptable.	
the multiverse	1262	what's out there	alternate reality			The hypothetical set of finite and infinite possible universes, including the universe in which we live.	
the nature of animal instincts in humans	1263	human nature	the pursuit of knowledge			Those ancient instincts that are deeply rooted in the reptile core of our brains are discussed. They typically involve aggression, survival, and reproduction.	Suppressed animal instincts come to the surface as the crew begins to de-evolve in tng7x19 "Genesis".
the nature of children	1264	human nature	the pursuit of knowledge			What children’s innate attributes and behaviors are is discussed.	Earth Two was populated wholly by child Onlies in tos1x11 "Miri" as all the adults had succumbed to a disease.
the nature of creativity	1265	metaphysics	the pursuit of knowledge			It is discussed what precisely human "creativity" is and from whence it comes.	
the nature of cuteness	1266	aesthetics	the pursuit of knowledge			The question of what "cuteness" really is, is discussed. Why do we call some things "cute"?	McCoy pondered what it is that attracts us to cute little Tribbles in tos2x13 "The Trouble with Tribbles".
the nature of death	1267	human nature	the pursuit of knowledge			Existential questions about the end of life are discussed.	The immortal alien being Nagilum killed Enterprise-D crew in order to understand the nature of this whole dying business in tng2x02 "Where Silence Has Lease".
the nature of friendship	1268	human nature	the pursuit of knowledge			How friendships work, end, or come about is discussed.	Data the emotionless android emphatically explained the essentials of friendship to Ishara in tng4x06 "Legacy".
the nature of good and evil	1269	ethics	the pursuit of knowledge			The very nature of what is morally good and bad is discussed.	
the nature of grief	1270	human nature	the pursuit of knowledge			The emotion of grief and associated activities are pondered.	Captain Picard explained how grief is a natural part of the human life cycle to an incorporeal alien in tng3x05 "The Bonding".
the nature of human emotions	1271	human nature	the pursuit of knowledge			What emotions are and what they mean to us is discussed.	
the nature of human perception of time	1272	human nature	the pursuit of knowledge			How we sense and think of time is discussed.	Data put the aphorism "a watched pot never boils" to the test in tng6x25 "Timescape".
the nature of humor	1273	human nature	the pursuit of knowledge			What it means to leave people in stitches is pondered.	
the nature of individuality	1274	human nature	the pursuit of knowledge			What it is that distinguishes us as individuals from other people in the mass of humanity, is pondered.	
the nature of love	1275	human nature	the pursuit of knowledge			The emotion of love and associated activities are pondered.	
the nature of memory	1276	metaphysics	the pursuit of knowledge			The definition for, and workings of, human memory is discussed.	Telepathic aliens studied memory and the subconscious in tng5x12 "Violations".
the nature of persuasion	1277	human nature	the pursuit of knowledge			The ways by which we sway each others’ opinions are pondered.	Expert negotiator Ral soliloquize about this in tng3x08 "The Price".
the nature of reality	1278	metaphysics	the pursuit of knowledge			The fundamental philosophical question of "what is real" is discussed. Might everything we perceive be an illusion or is there something we can identify as certainly real?	Living out a life as a villager named Karmin on the planet Kataan felt very real to Captain Picard in tng5x25 "The Inner Light", but in reality it was all an elaborate fiction produced by an alien probe.
the nature of sentience	1279	metaphysics	the pursuit of knowledge			The definition of sentience is discussed. Here as in most sci-fi the word "sentient" is taken to mean intelligent and self-aware. That, however, still leaves much to be questioned.	how could Picard tell whether he was transported to an alternate world or whether he was just crazy
the nature of sneezing	1280	human nature	the pursuit of knowledge			The deep and profound mysteries of the sneeze are examined.	Wesley stumbled on Data practicing his artificial sneezing in tng1x13 "Datalore".
the nature of taste	1281	aesthetics	the pursuit of knowledge			The nature of gustatory taste is discussed (as opposed to, for example, taste in art).	Q and Data discussed that human habit of eating in tng3x13 "Deja Q".
the nature of the senses	1282	human nature	the pursuit of knowledge			What our senses are and how they work is discussed.	
the nature of the subconscious	1283	human nature	the pursuit of knowledge			The workings of the subconscious mind is explored.	
the need for a challenge in life	1284	human need	the human condition			It is suggested that humans, in order to feel fulfilled, need some kind of long term challenge to overcome.	
the need for a purpose in life	1285	human need	the human condition			It is suggested that humans, in order to feel fulfilled, need some kind of long term purpose to work toward.	
the need for closure	1286	human need	the human condition			We see that humans tend to feel bad about past affairs being left partially unresolved or unknown. We would, e.g., dislike not knowing whether a missing family member is dead or alive.	Geordi found closure in accepting the death of his mother in tng7x03 "Interface" by speaking with an alien entity that had taken on her identity.
the need for companionship	1287	human need	the human condition			It is illustrated that humans need close friends or life partners etc. in order to feel fulfilled.	
the need for cultural heritage	1288	human need	the human condition			It is illustrated that humans often need to feel they have roots in a culture in order to feel content in life.	
the need for death	1289	contemporary social issue	society			The pros and cons of accepting death, as opposed to seeking immortality, in society are explored.	
the need for freedom	1290	human need	the human condition			It is suggested that humans do not feel good about being in captivity or otherwise unfree.	
the need for play	1291	human need	the human condition			It is suggested that humans need some fun and games in order to develop and function normally.	
the need for privacy	1292	human need	the human condition			It is illustrated that lack of privacy, if taken too far, will lead to unhappy and ill-functioning humans.	Miranda was born with the ability to hear thoughts and might have gone insane, in tos3x07 "Is There in Truth No Beauty?", had she not learned how to shut the voices out.
the need for procreation	1293	human need	the human condition			That humans typically need to reproduce and sire offspring in order to feel self-fulfilled is illustrated.	
the need for rest and recreation	1294	human need	the human condition			It is illustrated that humans, in order to function well, need to rest and unwind with amusing activities from time to time.	Captain Picard reluctantly took in a little R&R on Risa in tng3x19 "Captain's Holiday".
the need for self-determination	1295	human need	the human condition			It is suggested that humans need to feel they have a measure of control over their own destinies if they are to function well. For example, having every other need tended to by a benevolent guardian might leave us with little capability to control our own lives.	
the need for self-vindication	1296	human need	the human condition			The human need to clear their names from perceived accusations or suspicions is featured.	In tos1x12 "The Conscience of the King", Kodos the Executioner justified committing genocide as governor of Tarsus IV to Captain Kirk, saying that it was a matter of life and death.
the need to be remembered	1297	human need	the human condition			It is suggested that humans are driven to do something with their lives that is worth remembering at least for someone.	
